category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
#meta+category,#indicator+name,#indicator+description,#indicator+type,#geo+lat,#geo+lon,#region+code,#country+code+v_iso2,#country+name,#date+year,#indicator+value
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1985,0.4
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1955,0.28
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2020,0.09
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1990,0.35
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1960,0.27
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2025,0.08
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1995,0.18
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1965,0.25
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2030,0.08
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2000,0.14
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1970,0.25
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2035,0.07
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2005,0.12
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1975,0.48
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2040,0.07
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2010,0.11
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1980,0.42
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2045,0.06
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,1950,0.3
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-33,-56,489,UY,Uruguay,2015,0.1
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-34.858042,-56.171052,489,UY,Montevideo,2000,0.33
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-34.858042,-56.171052,489,UY,Montevideo,2010,0.9
